_ID_;_Peзультат загрузки_;Новый;Не заливать;;Штрих-код EAN-13;Носитель;Исходное название товара;Название товара;Треки;Кол-во носителей;Год;Вес;Лейбл;Жанр;Изображение;Коментарии;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;PIN;643;;;707;813;249;659;689;239;814;267;266;;;;;;;;;;;;;;;
;;;;;4601365010060;CD;;Иоганн Себастьян Бах. Диск 3. Оркестровые произведения;;1;;100;RMG Records;;;;;;;;;;;;;;;;;;
;;;;;4601365010077;CD;;Иоганн Себастьян Бах. Диск 4. Оркестровые произведения и камерная музыка;;1;;100;RMG Records;;;;;;;;;;;;;;;;;;
;;;;;4601365010343;CD;;Людвиг ван Бетховен. Диск 2. Концерты для фортепиано с оркестром, трио для фортепиано, скрипки и виолончели, сонаты для скрипки и фортепиано, сонаты для фортепиано;;1;;100;RMG Records;;;;;;;;;;;;;;;;;;
;;;;;4601365010541;CD;;Вольфганг Амадей Моцарт. Оркестровые произведения, камерно-инструментальная музыка. Диск 3;;1;;100;RMG Records;;;;;;;;;;;;;;;;;;
;;;;;4601365011982;CD;;Никколо Паганини. Диск 1. Оркестровые произведения, камерная музыка, произведения для скрипки;;1;;100;RMG Records;;;;;;;;;;;;;;;;;;
;;;;;4601365012224;CD;;Феликс Мендельсон. Диск 2. Камерная музыка, вокально-инструментальная музыка, оркестровые произведения;;1;;100;RMG Records;;;;;;;;;;;;;;;;;;
;;;;;4601365012484;CD;;Георг Фридрих Гендель. Диск 1. Оркестровые произведения, органная музыка;;1;;100;RMG Records;;;;;;;;;;;;;;;;;;
;;;;;4601365012491;CD;;Георг Фридрих Гендель. Диск 2. Камерная и органная музыка;;1;;100;RMG Records;;;;;;;;;;;;;;;;;;
;;;;;4601365013689;CD;;Эдвард Элгар. Диск 2;;1;;100;RMG Records;;;;;;;;;;;;;;;;;;
;;;;;4601365014716;CD;;Томазо Альбинони. Оркестровые произведения. Камерная музыка;;1;;100;RMG Records;;;;;;;;;;;;;;;;;;
;;;;;4601365019049;CD;;Знаменитые классические произведения. Диск 2;;1;;100;RMG Records;;;;;;;;;;;;;;;;;;
;;;;;4601365028447;CD;;Classical Gallery: Violin Concertos;;1;;100;;Classic;;;;;;;;;;;;;;;;;
;;;;;794881746729;CD;;Les Tresors du Jazz. 1953;;10;2004;325;;jazz
;;;;;4601365028768;CD;;Classical Gallery: Organ, Cello, Clarinet, Flute and Piano Concertos;;1;2007;100;;
;;;;;4601365024722;CD;;Famous Violin and Piano Concertos;;1;2006;100;;
;;;;;4601365024739;CD;;Johann Sebastian Bach. Piano and Violin Concertos;;1;2006;100;;
;;;;;4601365024746;CD;;Famous Symphonies and Concertos of Mozart;;1;2006;100;;
;;;;;88697002292;CD;;Denis Matsuev. Piano Concertos;;1;2007;100;;классика
;;;;;4607173012920;CD;;При свечах. Вдохновение;;1;2007;100;Никитин;классика
;;;;;4605026012493;CD;;Mstislav Rostropovich. Vivaldi, Tartini, Boccherini. Cello Concertos;;1;2007;100;;
